placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2025-01-29 00:00:00,2025-01-30 00:00:00,29,0,1,0,3,6,2,3,7,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-30 00:00:00,2025-01-31 00:00:00,7,0,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-31 00:00:00,2025-02-01 00:00:00,11,0,0,1,1,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-01 00:00:00,2025-02-02 00:00:00,37,0,2,2,2,5,2,5,3,4,0,3,3,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-02 00:00:00,2025-02-03 00:00:00,41,0,5,1,4,3,2,5,8,5,0,0,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-03 00:00:00,2025-02-04 00:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-04 00:00:00,2025-02-05 00:00:00,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-05 00:00:00,2025-02-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-06 00:00:00,2025-02-07 00:00:00,21,1,7,1,0,0,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-07 00:00:00,2025-02-08 00:00:00,88,0,25,6,1,7,6,12,9,0,0,7,2,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-08 00:00:00,2025-02-09 00:00:00,13,0,5,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-09 00:00:00,2025-02-10 00:00:00,24,0,3,0,0,7,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-10 00:00:00,2025-02-11 00:00:00,40,0,4,2,2,7,5,5,4,7,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-11 00:00:00,2025-02-12 00:00:00,32,0,5,3,2,4,5,2,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-12 00:00:00,2025-02-13 00:00:00,16,1,4,0,1,1,0,0,5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-13 00:00:00,2025-02-14 00:00:00,50,0,11,6,3,2,2,1,3,17,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-14 00:00:00,2025-02-15 00:00:00,28,0,6,3,2,1,0,0,8,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-15 00:00:00,2025-02-16 00:00:00,69,0,18,8,3,8,7,4,11,2,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0
